traj_id,t,x,z,theta,xq_dot,zq_dot,theta_dot,l,phi,l_dot,phi_dot,error_x,error_z,error_theta,error_phi,error_l,u_x,u_z,u_theta,u_phi,u_l
0,0.01,6.974143162456014e-07,5.000009834780418,-0.00723229834798275,0.0002789659742492627,0.0019666089357350835,-1.4464623421666685,1.0,6.974143162456014e-07,0.0,0.0002789659742492627,4.0,0.0,-0.794988984917891,0.0,0.0,10.0,0.0,-5.0,0.0,0.0
0,0.02,1.1155210712272216e-05,5.000038992025203,-0.028926317327903663,0.002230851915975031,0.003859632044782778,-2.892381506173616,1.0,1.1154092642068784e-05,0.0,0.0022304494088513345,3.999999302585684,-9.83478041760577e-06,-0.7877416946914064,-6.974143162456014e-07,0.0,10.0,-0.010228663373330883,-5.0,-0.00029988815598560854,0.0
0,0.03,5.644785653058162e-05,5.000086179457814,-0.06507533635482787,0.0075242756584828225,0.005555284332796896,-4.337595744371565,1.0,5.6432412171271287e-05,0.0,0.007521050936356453,3.9999888447892875,-3.899202520329936e-05,-0.7658367924431303,-1.1154092642068784e-05,0.0,10.0,-0.030719367134106612,-5.0,-0.004517294109591337,0.0
0,0.04,0.0001783233201517715,5.0001487320617555,-0.11567792061569362,0.01782608112382126,0.006894477552595282,-5.783389477254293,1.0,0.00017823318774766586,0.0,0.01781234007865386,3.9999435521434696,-8.617945781441705e-05,-0.7289226158824418,-5.6432412171271287e-05,0.0,10.0,-0.050641361236866134,-5.0,-0.01980430017681914,0.0
0,0.05,0.0004226684529597626,5.000118201854861,-0.17246059850292567,0.031985327176535086,-0.013000915243183676,-5.5731461001921145,1.0,0.00042229516883122655,0.0,0.03193754238823249,3.9998216766798484,-0.00014873206175547438,-0.676600735399512,-0.00017823318774766586,0.0,10.0,-0.06851607332753584,0.6307301311865352,-0.0540673058629878,0.0
0,0.060000000000000005,0.0008527081089287226,4.999991589695624,-0.22089523396085556,0.05496423045368293,-0.012448175510760304,-4.112772403727837,1.0,0.0008515912183523187,0.0,0.0548561332526034,3.9995773315470404,-0.00011820185486133283,-0.6169836108675419,-0.00042229516883122655,0.0,10.0,0.02578203569068562,5.0,-0.11029364749836107,0.0
0,0.07,0.00152656723393388,4.999809154972943,-0.25531716906425483,0.08042480673286642,-0.024131407980551092,-2.770724664904404,1.0,0.001523791165864589,0.0,0.08018857866944076,3.999147291891071,8.410304375594535e-06,-0.5641324478869785,-0.0008515912183523187,0.0,10.0,0.12692889491816733,4.216491755616033,-0.1972661563590064,0.0
0,0.08,0.0024663736484499196,4.999483691520864,-0.2822473945626916,0.10802234263455322,-0.04096396034398671,-2.6153204347829475,1.0,0.002460193394173326,0.0,0.10755973354672539,3.9984734327660663,0.00019084502705712936,-0.5236901545684349,-0.001523791165864589,0.0,10.0,0.19005838952138904,0.46621269036436885,-0.3145937139808458,0.0
0,0.09,0.0036991113283831615,4.998999130270513,-0.3103023938857931,0.1390481623713669,-0.05595225832370085,-2.9956794298373506,1.0,0.003686696817752172,0.0,0.13824072791692138,3.99753362635155,0.000516308479135752,-0.48980729956403996,-0.002460193394173326,0.0,10.0,0.3461314724255785,-1.1410769851632097,-0.44836669314869465,0.0
0,0.09999999999999999,0.005261252289637229,4.99837521118135,-0.33886696658767707,0.1739325183948373,-0.06883720674774016,-2.7172351105394363,1.0,0.005238445318257182,0.0,0.17263263249272534,3.996300888671617,0.0010008697294869862,-0.453692062483075,-0.003686696817752172,0.0,10.0,0.5246617641987138,0.8353329578937423,-0.6012022739641035,0.0
